"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\riot\[riotAccountId]\chat\route.ts", "TypeScript", -52, 0, 0, 0, 0, -4, -6, -62
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\error.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\layout.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\robots.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 3, 16
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\sitemap.ts", "TypeScript", 51, 0, 0, 0, 0, 1, 5, 57
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\API_DESIGN.md", "Markdown", 0, 0, 29, 0, 0, 0, 10, 39
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\DEPENDENCIES.md", "Markdown", 0, 0, 19, 0, 0, 0, 10, 29
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\PROJECT_STRUCTURE.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 21
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\adr\ADR-008-meta-stats-source.md", "Markdown", 0, 0, 50, 0, 0, 0, 15, 65
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\adr\ADR-009-3d-landing-stack.md", "Markdown", 0, 0, 31, 0, 0, 0, 11, 42
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-166.md", "Markdown", 0, 0, 27, 0, 0, 0, 6, 33
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-167.md", "Markdown", 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-168.md", "Markdown", 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-169.md", "Markdown", 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-170.md", "Markdown", 0, 0, 17, 0, 0, 0, 6, 23
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-171.md", "Markdown", 0, 0, 22, 0, 0, 0, 6, 28
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-172.md", "Markdown", 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-173.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-174.md", "Markdown", 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-175.md", "Markdown", 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-176.md", "Markdown", 0, 0, 22, 0, 0, 0, 6, 28
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-177.md", "Markdown", 0, 0, 23, 0, 0, 0, 6, 29
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-178.md", "Markdown", 0, 0, 23, 0, 0, 0, 6, 29
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-179.md", "Markdown", 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-180.md", "Markdown", 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-181.md", "Markdown", 0, 0, 22, 0, 0, 0, 6, 28
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-182.md", "Markdown", 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-183.md", "Markdown", 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-184.md", "Markdown", 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-185.md", "Markdown", 0, 0, 17, 0, 0, 0, 5, 22
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-186.md", "Markdown", 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-187.md", "Markdown", 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-188.md", "Markdown", 0, 0, 19, 0, 0, 0, 5, 24
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-189.md", "Markdown", 0, 0, 18, 0, 0, 0, 5, 23
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-190.md", "Markdown", 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-191.md", "Markdown", 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-192.md", "Markdown", 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-193.md", "Markdown", 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-194.md", "Markdown", 0, 0, 23, 0, 0, 0, 6, 29
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-195.md", "Markdown", 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-196.md", "Markdown", 0, 0, 27, 0, 0, 0, 7, 34
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-197.md", "Markdown", 0, 0, 28, 0, 0, 0, 6, 34
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-198.md", "Markdown", 0, 0, 49, 0, 0, 0, 11, 60
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\tasks\TASK-199.md", "Markdown", 0, 0, 19, 0, 0, 0, 6, 25
